Код,Название,Адрес,x,y,,,,,,,,Группа
1,Категория Б,,,,,,,,,,,
2,Эмир,"Толстого, 104, 1 этаж",69.617029,42.32087,,,,,,,,
3,??ламжан,"Акназар Хан, 60/3",69.631848,42.302203,,,,,,,,
4,??рмет,"Жибек жолы, 95, 1-2 этаж",69.648291,42.334717,,,,,,,,
5,??рмет,"Жуманова, 23/1",69.430701,42.35616,,,,,,,,
6,??с жолы,"Алибекова, 1а, 1 этаж",69.629615,42.378618,,,,,,,,
7,?абит,"Хайруллина, 31",69.591975,42.352572,,,,,,,,
8,?абит,"Бекболатова, 131/1",69.522188,42.297242,,,,,,,,
9,?АЗИЗА,"Нурсултана Назарбаева проспект, 31, 1 этаж",69.646955,42.35952,,,,,,,,
10,?азы??рт,"Алдиярова, 2/1",69.610405,42.310061,,,,,,,,
11,?азы??рт,"Богенбай батыра, 83",69.549366,42.287391,,,,,,,,
12,?азына,"Елшибек батыра, 116/1",69.636235,42.324265,,,,,,,,
13,?азына,"Нурсат микрорайон, 107, 1 этаж",69.626524,42.364288,,,,,,,,
14,?азына,"18-й микрорайон, 8, 1 этаж",69.626873,42.339315,,,,,,,,
15,?азына,"Отырар, 64/1",69.540039,42.295568,,,,,,,,
16,?айнар,"Сайрамская, 38",69.641377,42.307883,,,,,,,,
17,?айнар,"Жубанова, 40Б",69.789404,42.400064,,,,,,,,
18,?айсар,"Рыскулова, 1007",69.589472,42.35049,,,,,,,,
19,?ара-су,"Туркестанская, 4, 1 этаж",69.59526,42.315894,,,,,,,,
20,?арахан Баба,"Новостройка, 28",69.570974,42.286699,,,,,,,,
21,?арлы?аш,"Туякбаева, 14а",69.606323,42.350434,,,,,,,,
22,?арлы?аш,"Байтурсынова, 73, 1 этаж",69.600718,42.338055,,,,,,,,
23,?арлы?аш,"Верещагина, 75",69.620638,42.334193,,,,,,,,
24,?асиет,"Байысбаева, 1/1, 1 этаж",69.537513,42.36304,,,,,,,,
25,?БДІРАХМАН АТА,"Панфилова, 68/3, 1 этаж",69.652401,42.282927,,,,,,,,
26,?дiлет,"Казакстан, 16а",69.501481,42.38462,,,,,,,,
